x_m,y_m,psi_rad,gamma_n,gamma_feasible,rank,sigma_min,rejection_reason,solver_status
-0.9405,-0.1425,0.785398,nan,0,3,0.221371,solver_infeasible,primal infeasible
-0.9405,-0.133,0.785398,nan,0,3,0.22051,solver_infeasible,primal infeasible
-0.9405,-0.1235,0.785398,nan,0,3,0.219659,solver_infeasible,primal infeasible
-0.9405,-0.114,0.785398,nan,0,3,0.218816,solver_infeasible,primal infeasible
-0.9405,-0.1045,0.785398,nan,0,3,0.217982,solver_infeasible,primal infeasible
-0.9405,-0.095,0.785398,nan,0,3,0.217156,solver_infeasible,primal infeasible
-0.9405,-0.0855,0.785398,nan,0,3,0.216338,solver_infeasible,primal infeasible
-0.9405,-0.076,0.785398,nan,0,3,0.215526,solver_infeasible,primal infeasible
-0.9405,-0.0665,0.785398,nan,0,3,0.214721,solver_infeasible,primal infeasible
-0.9405,-0.057,0.785398,nan,0,3,0.213921,solver_infeasible,primal infeasible
-0.9405,-0.0475,0.785398,nan,0,3,0.213127,solver_infeasible,primal infeasible
-0.9405,-0.038,0.785398,nan,0,3,0.212338,solver_infeasible,primal infeasible
-0.9405,-0.0285,0.785398,nan,0,3,0.211554,solver_infeasible,primal infeasible
-0.9405,-0.019,0.785398,nan,0,3,0.210774,solver_infeasible,primal infeasible
-0.9405,-0.0095,0.785398,nan,0,3,0.209997,solver_infeasible,primal infeasible
-0.9405,0,0.785398,nan,0,3,0.209224,solver_infeasible,primal infeasible
-0.9405,0.0095,0.785398,nan,0,3,0.208453,solver_infeasible,primal infeasible
-0.9405,0.019,0.785398,nan,0,3,0.207685,solver_infeasible,primal infeasible
-0.9405,0.0285,0.785398,nan,0,3,0.206918,solver_infeasible,primal infeasible
-0.9405,0.038,0.785398,nan,0,3,0.206153,solver_infeasible,primal infeasible
-0.9405,0.0475,0.785398,nan,0,3,0.20539,solver_infeasible,primal infeasible
-0.9405,0.057,0.785398,nan,0,3,0.204626,solver_infeasible,primal infeasible
-0.9405,0.0665,0.785398,nan,0,3,0.203863,solver_infeasible,primal infeasible
-0.9405,0.076,0.785398,nan,0,3,0.2031,solver_infeasible,primal infeasible
-0.9405,0.0855,0.785398,nan,0,3,0.202335,solver_infeasible,primal infeasible
-0.9405,0.095,0.785398,nan,0,3,0.20157,solver_infeasible,primal infeasible
-0.9405,0.1045,0.785398,nan,0,3,0.200802,solver_infeasible,primal infeasible
-0.9405,0.114,0.785398,nan,0,3,0.200033,solver_infeasible,primal infeasible
-0.9405,0.1235,0.785398,nan,0,3,0.199261,solver_infeasible,primal infeasible
-0.9405,0.133,0.785398,nan,0,3,0.198485,solver_infeasible,primal infeasible
-0.9405,0.1425,0.785398,nan,0,3,0.197706,solver_infeasible,primal infeasible
-0.9405,0.152,0.785398,nan,0,3,0.196923,solver_infeasible,primal infeasible
-0.9405,0.1615,0.785398,nan,0,3,0.196135,solver_infeasible,primal infeasible
-0.9405,0.171,0.785398,nan,0,3,0.195341,solver_infeasible,primal infeasible
-0.9405,0.1805,0.785398,nan,0,3,0.194542,solver_infeasible,primal infeasible
-0.9405,0.19,0.785398,nan,0,3,0.193736,solver_infeasible,primal infeasible
-0.9405,0.1995,0.785398,nan,0,3,0.192923,solver_infeasible,primal infeasible
